Lat,Lon,VSM,TAV,TAH,Tsoil,Tveg,VWC,S%,C%,VSM_err
49.3649,-97.8242,0.2327,278.41,247.85,19.8,19.8,2.11,0.2,0.54,0.0157
49.3649,-97.819,0.2135,277.84,247.1,19.8,19.8,1.52,0.2,0.53,0.0206
49.3649,-97.8138,0.2181,276.89,245.2,19.8,19.8,1.35,0.2,0.52,0.0214
49.3649,-97.8086,0.2423,275.85,240.56,19.8,19.8,1.69,0.18,0.55,0.0136
49.3649,-97.8034,0.2573,276.98,234.6,19.8,19.8,2.25,0.15,0.59,0.0171
49.3649,-97.7982,0.2468,279.33,232.52,19.8,19.8,2.37,0.11,0.64,0.0151
49.3649,-97.7931,0.238,280.35,234.77,19.8,19.8,2.47,0.1,0.65,0.019
49.3649,-97.7879,0.2648,279.55,236.42,19.8,19.8,2.87,0.1,0.65,0.0221
49.3649,-97.7827,0.2939,277.67,235.21,19.8,19.8,2.92,0.1,0.65,0.0286
49.3649,-97.7775,0.3277,275.62,232.88,19.8,19.8,2.9,0.1,0.65,0.0239
49.3649,-97.7723,0.3176,273.75,228.41,19.8,19.8,2.41,0.1,0.65,0.0186
49.3649,-97.7671,0.2883,272.69,223.76,19.8,19.8,1.62,0.1,0.65,0.0141
49.3649,-97.7619,0.2808,272.64,223.03,19.8,19.8,1.24,0.1,0.65,0.0213
49.3649,-97.7567,0.2707,272.69,224.21,19.8,19.8,0.85,0.1,0.65,0.017
49.3649,-97.7516,0.267,272.49,224.81,19.8,19.8,0.62,0.1,0.65,0.0135
49.3709,-98.1198,0.1877,273.49,247.68,19.6,19.6,1.08,0.36,0.42,0.0092
49.3709,-98.1146,0.2158,272.79,249.07,19.6,19.6,1.29,0.34,0.45,0.023
49.3709,-98.1094,0.274,271.13,251.65,19.6,19.6,1.72,0.35,0.44,0.0158
49.3709,-98.1043,0.3114,271.04,253.65,19.6,19.6,2.25,0.33,0.45,0.0248
49.3709,-98.0991,0.3015,273.33,253.27,19.6,19.6,2.48,0.25,0.51,0.0239
49.3709,-98.0939,0.2819,275.42,250.99,19.6,19.6,2.41,0.19,0.57,0.0192
49.3709,-98.0887,0.2747,275.55,248.04,19.6,19.6,2.01,0.13,0.62,0.0153
49.3709,-98.0835,0.2816,274.09,246.23,19.6,19.6,1.76,0.12,0.63,0.0126
49.3709,-98.0783,0.2706,273.8,246.56,19.6,19.6,1.77,0.14,0.62,0.0136
49.3709,-98.0731,0.2644,275.46,249.84,19.6,19.6,1.93,0.13,0.63,0.0154
49.3709,-98.0679,0.2706,276.5,252.73,19.6,19.6,2.24,0.13,0.63,0.0155
49.3709,-98.0628,0.2881,276.24,252.84,19.6,19.6,2.6,0.16,0.61,0.0204
49.3709,-98.0576,0.2994,276.12,252.78,19.5,19.5,2.86,0.17,0.6,0.0224
49.3709,-98.0524,0.2894,276.52,253.27,19.5,19.5,2.64,0.17,0.6,0.0227
49.3709,-98.0472,0.252,276.88,252.9,19.5,19.5,2.26,0.18,0.58,0.0165
49.3709,-98.042,0.2113,277.2,251.5,19.5,19.5,1.85,0.18,0.58,0.0353
49.3709,-98.0368,0.2074,277.27,250.69,19.5,19.5,1.85,0.17,0.58,0.0317
49.3709,-98.0316,0.2429,275.79,250.09,19.5,19.5,1.99,0.15,0.59,0.0151
49.3709,-98.0265,0.2662,273.25,248.71,19.5,19.5,1.88,0.13,0.61,0.0188
49.3709,-98.0213,0.2748,271.62,246.95,19.5,19.5,1.69,0.11,0.63,0.0308
49.3709,-98.0161,0.2634,271.66,246.2,19.5,19.5,1.2,0.1,0.65,0.0175
49.3709,-98.0109,0.2527,273.05,246.38,19.5,19.5,1.1,0.1,0.65,0.0168
49.3709,-98.0057,0.241,274.82,247.3,19.5,19.5,1.15,0.12,0.63,0.0205
49.3709,-98.0005,0.2344,276.12,248.28,19.6,19.6,1.4,0.14,0.6,0.0222
49.3709,-97.9953,0.2048,277.34,248.85,19.6,19.6,1.5,0.16,0.57,0.0221
49.3709,-97.9901,0.1748,278.15,248.94,19.6,19.6,1.39,0.19,0.53,0.0219
49.3709,-97.985,0.1702,277.04,249.46,19.6,19.6,1.3,0.21,0.51,0.0207
49.3709,-97.9798,0.1856,275.67,250.25,19.6,19.6,1.09,0.21,0.51,0.0182
49.3709,-97.9746,0.2019,274.46,250.03,19.6,19.6,1.08,0.2,0.52,0.019
49.3709,-97.9694,0.2409,273.53,249.38,19.6,19.6,1.45,0.18,0.56,0.0207
49.3709,-97.9642,0.2481,274.19,249.01,19.6,19.6,1.77,0.18,0.55,0.0293
49.3709,-97.959,0.248,276.28,248.42,19.6,19.6,2.02,0.18,0.55,0.0178
49.3709,-97.9538,0.234,278.08,247.39,19.6,19.6,2.15,0.21,0.51,0.0168
49.3709,-97.9487,0.2342,278.03,246.33,19.6,19.6,2.16,0.25,0.46,0.0171
49.3709,-97.9435,0.2431,276.55,246.18,19.6,19.6,2.22,0.3,0.39,0.0179
49.3709,-97.9383,0.2353,275.33,246.24,19.6,19.6,2.28,0.38,0.33,0.0175
49.3709,-97.9331,0.2702,274.2,246.02,19.6,19.6,2.5,0.37,0.39,0.0174
49.3709,-97.9279,0.3016,273.27,244.8,19.6,19.6,2.7,0.31,0.48,0.02
49.3709,-97.9227,0.3106,273.57,242.78,19.6,19.6,2.86,0.25,0.54,0.0223
49.3709,-97.9175,0.3002,274.95,239.97,19.6,19.6,2.74,0.22,0.56,0.0221
49.3709,-97.9123,0.2885,276.03,236.83,19.6,19.6,2.62,0.2,0.58,0.0206
49.3709,-97.9072,0.3015,275.33,236.06,19.6,19.6,2.58,0.13,0.63,0.0188
49.3709,-97.902,0.3059,273.99,238.6,19.6,19.6,2.5,0.13,0.63,0.0204
49.3709,-97.8968,0.2914,272.65,243.12,19.6,19.6,2.2,0.17,0.58,0.0189
49.3709,-97.8916,0.2763,271.93,248.57,19.6,19.6,2.24,0.23,0.51,0.0154
49.3709,-97.8864,0.2505,275.07,251.28,19.7,19.7,2.43,0.26,0.48,0.0147
49.3709,-97.8812,0.2415,277.92,251.41,19.7,19.7,2.69,0.28,0.47,0.0155
49.3709,-97.876,0.2459,279.61,251.93,19.7,19.7,2.92,0.26,0.49,0.0261
49.3709,-97.8709,0.2271,282.02,253.44,19.7,19.7,2.77,0.23,0.52,0.0164
49.3709,-97.8657,0.1727,284.44,256.07,19.8,19.8,2.46,0.19,0.56,0.0222
49.3709,-97.8605,0.1948,282.9,257.94,19.8,19.8,2.05,0.13,0.61,0.0191
49.3709,-97.8553,0.203,281.69,258.32,19.8,19.8,1.7,0.13,0.62,0.0292
49.3709,-97.8501,0.1877,282.55,257.84,19.8,19.8,1.79,0.16,0.58,0.0307
49.3709,-97.8449,0.1858,282.57,256.78,19.8,19.8,2.05,0.18,0.56,0.0171
49.3709,-97.8397,0.2114,281.08,254.3,19.8,19.8,2.33,0.19,0.56,0.0121
49.3709,-97.8345,0.245,279.73,250.27,19.8,19.8,2.6,0.18,0.59,0.0151
49.3709,-97.8294,0.2691,278.61,245.28,19.8,19.8,2.51,0.13,0.62,0.0145
49.3709,-97.8242,0.2522,277.74,242.64,19.8,19.8,1.98,0.13,0.61,0.0141
49.3709,-97.819,0.2398,277.15,241.74,19.8,19.8,1.41,0.14,0.6,0.0254
49.3709,-97.8138,0.2491,276.2,240.35,19.8,19.8,1.47,0.15,0.59,0.0249
49.3709,-97.8086,0.2809,275.51,237.38,19.8,19.8,2.07,0.13,0.61,0.0515
49.3709,-97.8034,0.2785,277.15,233.42,19.8,19.8,2.39,0.11,0.64,0.0196
49.3709,-97.7982,0.2375,279.73,231.77,19.8,19.8,2.17,0.1,0.65,0.0129
49.3709,-97.7931,0.2066,280.62,233.16,19.8,19.8,1.67,0.1,0.65,0.0302
49.3709,-97.7879,0.2174,279.51,234.08,19.8,19.8,1.5,0.1,0.65,0.0339
49.3709,-97.7827,0.2416,277.94,232.97,19.8,19.8,1.6,0.1,0.65,0.0251
49.3709,-97.7775,0.2563,276.37,230.83,19.8,19.8,1.56,0.1,0.65,0.0303
49.3709,-97.7723,0.2684,274.21,226.5,19.8,19.8,1.35,0.1,0.65,0.0239
49.3709,-97.7671,0.2749,272.48,222.73,19.8,19.8,1.05,0.1,0.65,0.0175
49.3709,-97.7619,0.2763,271.89,222.83,19.8,19.8,0.85,0.11,0.64,0.0144
