GPP_Day,PARin_Day,fAPAR_Day,LE_Day,GPP_MDay,PARin_MDay,fAPAR_MDay,LE_MDay,LAI,LAIgreen,VF,TM_NDVI,TM_EVI2,TM_WDRVI_05,TM_WDRVI_1,TM_Green_NDVI,TM_VARI,TM_CIgreen,MODIS_CIgreen,MERIS_CIre,R_TM_blue,R_TM_green,R_TM_red,R_TM_IR,R_MODIS_green,R_Meris_RE,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700,R_710,R_720,R_730,R_740,R_750,R_760,R_770,R_780,R_790,R_800,R_810,R_820,R_830,R_840,R_850,R_860,R_870,R_880,R_890,R_900
1.564,1026.713,0.942,-263.56,2.512,1667.45,0.948,-469.167,6.004,5.834,93.461,0.902,0.753,-0.017,0.318,0.859,0.188,12.193,10.237,7.676,2.101,3.745,2.558,49.407,4.397,5.694,1.153,1.33,1.497,1.651,1.717,1.797,1.855,1.884,1.907,1.948,2.063,2.362,2.993,3.797,4.282,4.507,4.402,3.91,3.439,3.222,3.154,3.007,2.825,2.774,2.721,2.559,2.407,2.279,2.339,2.825,4.335,7.054,11.72,19.575,29.907,39.247,44.836,47.675,48.798,49.464,50.086,50.359,50.187,50.176,50.398,50.199,50.531,50.436,50.004,49.589,48.36
1.873,998.92,0.94,-245.08,3.001,1632.067,0.942,-415.317,5.991,5.802,93.862,0.895,0.774,-0.052,0.286,0.854,0.173,11.69,9.89,7.283,2.338,4.114,2.898,52.202,4.793,6.302,1.304,1.489,1.68,1.847,1.915,1.998,2.062,2.095,2.122,2.168,2.304,2.639,3.317,4.173,4.68,4.902,4.798,4.289,3.796,3.567,3.501,3.345,3.149,3.113,3.054,2.894,2.735,2.593,2.678,3.22,4.83,7.775,12.801,21.101,31.878,41.549,47.116,50.216,51.468,52.124,52.744,52.767,52.945,52.927,53.482,53.363,53.542,53.4,52.828,52.599,51.513
1.737,1018.633,0.942,-247.12,2.671,1655.167,0.944,-375.967,5.964,5.738,92.58,0.892,0.709,-0.068,0.271,0.853,0.159,11.648,9.927,7.374,2.12,3.616,2.622,45.735,4.186,5.461,1.224,1.391,1.545,1.695,1.756,1.826,1.886,1.913,1.941,1.988,2.1,2.37,2.94,3.661,4.083,4.284,4.19,3.766,3.354,3.161,3.106,2.977,2.821,2.788,2.739,2.614,2.499,2.39,2.448,2.878,4.208,6.715,11.057,18.38,27.711,35.961,40.72,43.699,44.735,45.127,45.71,46.101,46.186,46.469,46.812,47.067,46.98,47.202,46.588,46.863,45.76
1.485,820.38,0.932,-265.307,2.357,1395.017,0.93,-457.267,5.909,5.621,92.928,0.884,0.789,-0.104,0.238,0.848,0.145,11.126,9.569,7.013,2.67,4.518,3.372,54.787,5.184,6.837,1.462,1.692,1.889,2.078,2.163,2.272,2.35,2.394,2.432,2.497,2.661,3.023,3.732,4.591,5.074,5.288,5.19,4.694,4.201,3.979,3.915,3.756,3.573,3.536,3.48,3.339,3.212,3.104,3.196,3.74,5.345,8.33,13.623,22.248,33.321,43.362,49.189,52.431,53.748,54.466,55.212,55.395,55.655,55.67,56.063,56.157,56.128,55.95,55.918,55.582,54.244
1.427,685.633,0.939,-193.72,2.48,1224.7,0.938,-322.867,5.836,5.465,92.956,0.876,0.71,-0.139,0.204,0.836,0.151,10.168,8.723,6.396,2.483,4.207,3.106,46.981,4.832,6.352,1.437,1.641,1.814,1.991,2.063,2.138,2.201,2.234,2.258,2.312,2.459,2.802,3.459,4.263,4.726,4.928,4.841,4.371,3.922,3.703,3.647,3.501,3.329,3.292,3.228,3.074,2.946,2.836,2.918,3.446,4.956,7.747,12.594,20.485,30.157,38.176,42.675,45.121,46.09,46.591,47.164,47.298,47.42,47.369,47.944,48.185,48.432,48.094,48.053,48.069,46.205
1.414,682.067,0.934,-216.887,2.476,1211.65,0.933,-386.817,5.763,5.309,88.15,0.869,0.728,-0.166,0.177,0.832,0.136,9.892,8.553,6.317,2.636,4.526,3.445,49.3,5.161,6.738,1.431,1.636,1.831,2.017,2.114,2.227,2.312,2.359,2.406,2.47,2.635,2.993,3.681,4.523,5.031,5.257,5.194,4.739,4.268,4.058,3.987,3.839,3.663,3.628,3.571,3.426,3.289,3.158,3.239,3.804,5.359,8.116,12.978,20.902,30.83,39.572,44.838,47.26,48.226,49.05,49.62,50.09,50.1,50.238,50.301,50.493,50.434,50.373,50.125,49.627,48.717
1.162,796.02,0.944,-239.467,2.009,1455.35,0.945,-462.883,5.669,5.117,86.378,0.874,0.704,-0.149,0.194,0.834,0.146,10.049,8.674,6.326,2.448,4.207,3.135,46.482,4.805,6.345,1.281,1.473,1.664,1.855,1.95,2.064,2.149,2.19,2.239,2.303,2.449,2.775,3.412,4.199,4.679,4.91,4.825,4.393,3.97,3.764,3.71,3.575,3.399,3.352,3.288,3.117,2.972,2.846,2.921,3.448,4.995,7.695,12.212,19.813,29.403,37.699,41.958,44.626,45.901,46.285,46.819,47.235,46.996,47.219,47.601,47.588,47.683,47.696,47.267,46.908,45.441
1.325,789.56,0.937,-203.433,2.067,1345.267,0.936,-350.45,5.43,4.666,82.22,0.861,0.625,-0.198,0.145,0.821,0.135,9.191,7.993,5.754,2.241,3.887,2.959,39.615,4.405,5.865,1.191,1.355,1.525,1.693,1.787,1.885,1.961,2.009,2.052,2.111,2.25,2.546,3.115,3.816,4.263,4.49,4.461,4.092,3.719,3.545,3.483,3.357,3.201,3.168,3.117,2.966,2.82,2.677,2.736,3.233,4.651,7.08,11.023,17.524,25.593,32.259,35.716,37.735,38.693,39.152,39.608,39.987,40.008,40.308,40.666,40.682,40.781,40.745,40.525,40.184,39.425
1.211,674.84,0.927,-182.987,1.98,1201.633,0.926,-334.117,5.113,4.064,80.684,0.844,0.626,-0.257,0.084,0.804,0.123,8.228,7.176,4.871,2.433,4.416,3.446,40.745,4.984,6.94,1.221,1.416,1.584,1.767,1.876,1.995,2.088,2.149,2.201,2.276,2.443,2.807,3.501,4.316,4.818,5.079,5.054,4.651,4.249,4.054,4.017,3.882,3.714,3.672,3.619,3.426,3.273,3.129,3.203,3.802,5.517,8.364,12.784,19.517,27.501,33.672,36.697,38.799,39.576,40.232,40.519,40.766,40.631,41.149,41.488,41.72,42.014,41.962,42.132,42.833,40.658
1.211,667.44,0.932,-174.327,1.987,1119.533,0.928,-288.517,5.033,3.914,82.14,0.839,0.603,-0.272,0.067,0.792,0.14,7.638,6.645,4.613,2.501,4.495,3.393,38.824,5.079,6.917,1.257,1.441,1.624,1.812,1.927,2.056,2.152,2.21,2.266,2.339,2.509,2.885,3.589,4.415,4.916,5.177,5.142,4.738,4.315,4.112,4.049,3.889,3.685,3.643,3.564,3.385,3.211,3.052,3.14,3.755,5.492,8.342,12.901,19.388,26.689,32.395,35.833,37.182,38.014,38.564,38.76,39.181,39.194,39.29,39.504,39.625,39.617,39.648,39.582,39.293,39.073
1.108,912.286,0.924,-245.029,1.709,1470.0,0.921,-387.617,4.834,3.538,62.54,0.825,0.548,-0.313,0.022,0.784,0.117,7.268,6.381,4.2,2.292,4.173,3.299,34.502,4.674,6.635,1.124,1.281,1.451,1.621,1.736,1.86,1.957,2.026,2.09,2.163,2.322,2.651,3.266,3.997,4.49,4.769,4.764,4.423,4.071,3.908,3.871,3.75,3.598,3.574,3.513,3.319,3.133,2.937,2.993,3.626,5.301,7.969,12.022,17.817,24.338,29.064,31.577,32.721,33.448,33.916,34.3,34.68,34.765,34.883,35.176,35.529,35.633,35.587,35.346,35.361,34.603
1.101,789.164,0.915,-206.957,1.66,1282.9,0.911,-358.1,4.755,3.387,55.545,0.804,0.572,-0.369,-0.041,0.767,0.096,6.599,5.87,3.547,2.791,4.999,4.12,37.982,5.528,8.354,1.58,1.781,1.972,2.157,2.221,2.311,2.378,2.428,2.478,2.571,2.797,3.29,4.071,4.88,5.365,5.647,5.572,5.183,4.86,4.697,4.711,4.548,4.379,4.39,4.305,4.104,3.884,3.688,3.814,4.654,6.785,9.922,14.417,20.724,27.209,31.964,34.261,35.979,36.523,36.957,37.463,37.568,38.214,38.567,38.796,39.136,39.376,39.302,39.601,39.255,38.723
0.683,750.715,0.887,-170.562,1.155,1307.9,0.886,-258.933,4.556,3.011,47.451,0.743,0.472,-0.493,-0.191,0.732,0.024,5.476,4.998,2.733,2.662,4.878,4.65,31.589,5.267,8.461,1.229,1.426,1.629,1.83,1.973,2.117,2.244,2.348,2.443,2.547,2.741,3.108,3.746,4.516,5.025,5.348,5.429,5.187,4.923,4.85,4.881,4.823,4.723,4.761,4.756,4.621,4.488,4.321,4.422,5.184,7.097,9.825,13.529,18.487,23.527,26.853,28.029,29.528,30.117,30.579,31.058,31.263,31.529,32.001,32.448,32.903,32.941,33.022,33.184,33.011,32.229
0.52,424.438,0.859,-97.777,0.864,688.217,0.857,-149.633,4.477,2.861,32.989,0.722,0.498,-0.527,-0.235,0.721,0.003,5.158,4.746,2.487,3.167,5.755,5.718,35.439,6.168,10.163,1.465,1.687,1.916,2.16,2.327,2.515,2.673,2.803,2.916,3.047,3.275,3.699,4.412,5.268,5.876,6.257,6.371,6.128,5.856,5.775,5.855,5.837,5.735,5.806,5.841,5.653,5.509,5.346,5.486,6.382,8.652,11.673,15.801,21.371,26.316,29.804,31.393,32.838,33.478,34.123,34.707,35.102,35.562,36.016,36.352,36.903,36.888,37.1,37.154,37.254,36.719
0.104,727.294,0.1,-137.241,0.133,1116.7,0.062,-203.283,0.165,0.163,11.506,0.276,0.186,-0.838,-0.7,0.377,-0.113,1.209,1.226,0.445,9.402,13.123,16.458,28.988,13.023,20.066,5.794,6.245,6.676,7.14,7.539,7.96,8.359,8.743,9.131,9.497,9.914,10.437,11.173,11.982,12.593,13.062,13.415,13.628,13.779,14.086,14.388,14.679,14.99,15.384,15.729,16.077,16.379,16.656,17.114,17.869,19.231,20.9,22.652,24.017,24.947,25.557,26.192,26.646,26.954,27.478,27.913,28.325,28.839,29.124,29.46,29.789,30.103,30.333,30.807,31.424,31.435
0.206,996.719,0.079,-91.95,0.282,1702.317,0.035,-139.383,0.325,0.32,14.189,0.26,0.172,-0.843,-0.709,0.366,-0.118,1.156,1.188,0.424,9.494,12.951,16.403,27.919,12.759,19.605,6.099,6.46,6.87,7.295,7.674,8.082,8.485,8.867,9.224,9.608,10.02,10.519,11.145,11.812,12.324,12.795,13.159,13.435,13.65,13.953,14.283,14.624,14.952,15.34,15.709,16.015,16.338,16.649,17.074,17.694,18.879,20.331,21.717,23.083,24.112,24.864,25.279,25.814,26.148,26.637,26.986,27.389,27.734,28.066,28.476,28.721,29.055,29.388,29.465,29.69,29.936
0.244,885.824,0.098,-88.924,0.376,1596.8,0.058,-149.883,0.378,0.372,18.268,0.275,0.198,-0.838,-0.701,0.379,-0.116,1.221,1.247,0.463,10.614,14.552,18.37,32.313,14.378,22.092,6.784,7.23,7.675,8.15,8.576,9.053,9.494,9.901,10.304,10.711,11.19,11.749,12.507,13.279,13.892,14.415,14.828,15.067,15.305,15.641,16.033,16.387,16.728,17.183,17.583,17.938,18.298,18.632,19.092,19.861,21.236,22.948,24.802,26.512,27.835,28.778,29.288,29.896,30.338,30.777,31.192,31.589,32.061,32.414,32.927,33.231,33.688,33.857,34.16,34.537,34.743
0.367,1016.281,0.131,-98.856,0.492,1719.683,0.085,-151.383,0.458,0.45,15.636,0.284,0.188,-0.836,-0.696,0.388,-0.118,1.269,1.305,0.496,9.153,12.44,15.755,28.224,12.244,18.87,5.959,6.337,6.698,7.109,7.467,7.852,8.209,8.567,8.892,9.231,9.641,10.12,10.711,11.338,11.827,12.263,12.643,12.887,13.126,13.411,13.751,14.052,14.351,14.716,15.077,15.364,15.688,15.989,16.412,17.039,18.145,19.596,21.376,22.934,24.194,24.985,25.557,26.005,26.488,26.91,27.242,27.61,27.93,28.323,28.716,28.999,29.215,29.7,29.889,30.342,30.434
0.322,979.006,0.157,-93.024,0.47,1750.0,0.103,-152.767,0.681,0.667,19.02,0.365,0.257,-0.806,-0.646,0.456,-0.109,1.676,1.69,0.7,8.67,12.143,15.127,32.495,12.081,19.11,5.437,5.823,6.163,6.58,6.933,7.309,7.697,8.05,8.396,8.765,9.155,9.648,10.342,11.096,11.651,12.122,12.469,12.635,12.744,12.958,13.274,13.539,13.781,14.138,14.47,14.735,15.018,15.326,15.755,16.445,18.061,20.158,22.903,25.557,27.455,28.674,29.223,30.005,30.518,30.939,31.403,31.788,32.253,32.681,33.111,33.51,33.901,34.012,34.468,35.108,34.508
0.434,974.141,0.197,-125.488,0.637,1759.9,0.15,-217.683,1.073,1.048,24.193,0.38,0.262,-0.8,-0.636,0.456,-0.092,1.679,1.664,0.731,8.416,11.718,14.095,31.397,11.785,18.134,5.477,5.824,6.164,6.536,6.826,7.211,7.532,7.833,8.137,8.458,8.832,9.316,10.011,10.83,11.418,11.853,12.084,12.132,12.179,12.354,12.597,12.825,13.02,13.311,13.58,13.8,13.985,14.189,14.55,15.25,16.874,19.394,22.065,24.624,26.868,28.263,28.879,29.431,29.843,30.258,30.762,30.95,31.199,31.602,31.883,32.268,32.59,32.514,32.954,32.84,32.98
0.512,603.069,0.297,-96.363,0.754,1027.467,0.277,-168.667,1.269,1.239,39.062,0.535,0.439,-0.716,-0.503,0.568,-0.047,2.629,2.497,1.243,8.365,12.289,13.5,44.602,12.753,19.888,5.596,5.991,6.317,6.651,6.885,7.2,7.477,7.731,7.964,8.245,8.63,9.265,10.403,11.646,12.388,12.852,13.019,12.762,12.441,12.498,12.591,12.596,12.633,12.876,13.038,13.18,13.286,13.419,13.833,14.865,17.709,22.067,28.241,34.127,38.196,40.405,42.051,42.44,42.922,43.42,43.884,44.365,44.896,45.192,45.107,45.245,45.336,45.64,45.573,46.331,46.627
0.651,1058.967,0.383,-242.773,0.883,1700.683,0.347,-388.933,1.759,1.716,44.308,0.552,0.393,-0.705,-0.486,0.576,-0.035,2.714,2.56,1.359,6.516,9.538,10.237,35.419,9.95,15.014,4.247,4.568,4.842,5.113,5.327,5.581,5.809,6.02,6.226,6.436,6.749,7.239,8.066,9.06,9.675,10.039,10.137,9.89,9.641,9.634,9.7,9.732,9.741,9.885,9.978,10.015,10.071,10.148,10.398,11.162,13.266,16.761,21.358,25.964,29.797,32.082,33.26,33.802,34.213,34.639,34.713,35.134,35.213,35.652,35.729,36.126,36.419,36.431,36.383,37.084,36.481
0.511,470.633,0.521,-119.133,0.848,772.017,0.523,-179.167,2.103,2.052,63.523,0.758,0.621,-0.467,-0.158,0.713,0.099,4.965,4.263,2.474,4.633,7.823,6.413,46.659,8.865,13.431,3.15,3.414,3.595,3.761,3.847,3.979,4.108,4.195,4.29,4.405,4.624,5.14,6.326,7.867,8.668,9.015,8.912,8.165,7.395,7.077,6.979,6.77,6.522,6.508,6.424,6.241,6.134,6.081,6.302,7.204,10.532,16.33,24.117,32.667,39.392,43.176,44.68,45.628,45.972,46.197,46.453,46.667,46.613,46.947,47.168,47.29,47.265,47.431,47.531,47.594,46.446
0.884,1046.127,0.544,-260.12,1.231,1689.117,0.515,-441.3,2.693,2.631,64.441,0.687,0.487,-0.576,-0.3,0.676,0.021,4.17,3.803,2.145,4.489,7.072,6.785,36.56,7.611,11.623,2.902,3.168,3.372,3.541,3.66,3.832,3.974,4.092,4.216,4.34,4.571,5.027,5.864,6.824,7.393,7.717,7.723,7.365,7.01,6.876,6.871,6.775,6.669,6.734,6.723,6.623,6.576,6.573,6.754,7.516,9.769,13.477,18.63,24.586,29.851,33.073,34.484,35.345,35.678,36.085,36.357,36.557,36.582,36.882,37.101,37.178,37.337,37.362,37.286,37.263,36.901
1.027,1032.647,0.642,-235.973,1.453,1731.45,0.622,-436.317,3.135,3.066,79.097,0.803,0.595,-0.371,-0.044,0.762,0.107,6.392,5.512,3.195,3.232,5.448,4.394,40.275,6.184,9.6,2.145,2.346,2.486,2.613,2.68,2.777,2.863,2.922,2.98,3.061,3.226,3.602,4.42,5.445,6.025,6.315,6.213,5.677,5.153,4.934,4.852,4.687,4.505,4.49,4.414,4.27,4.191,4.15,4.298,4.945,7.326,11.875,18.339,25.88,32.357,36.504,38.593,39.225,39.626,40.016,40.158,40.44,40.661,40.667,40.797,40.871,40.747,40.664,40.756,40.72,40.178
1.042,1054.373,0.766,-229.893,1.541,1713.117,0.762,-396.817,3.873,3.791,84.447,0.868,0.727,-0.172,0.171,0.808,0.201,8.405,6.954,4.113,2.8,5.254,3.497,49.415,6.212,9.665,1.804,2.001,2.123,2.221,2.274,2.37,2.436,2.477,2.519,2.578,2.74,3.163,4.118,5.366,6.046,6.369,6.222,5.5,4.807,4.487,4.372,4.14,3.867,3.791,3.652,3.399,3.238,3.12,3.251,4.025,6.947,12.383,20.235,30.096,39.05,44.878,47.296,48.584,49.002,49.303,49.701,49.782,49.786,49.806,49.935,49.991,50.155,50.088,49.731,49.4,48.661
1.108,1022.693,0.822,-271.32,1.611,1669.05,0.822,-438.233,4.147,4.054,87.086,0.886,0.781,-0.095,0.246,0.82,0.24,9.14,7.451,4.462,2.738,5.293,3.247,53.677,6.352,9.828,1.772,1.957,2.088,2.188,2.225,2.309,2.376,2.407,2.439,2.498,2.657,3.092,4.123,5.448,6.195,6.522,6.338,5.57,4.789,4.403,4.253,3.999,3.706,3.614,3.446,3.148,2.954,2.81,2.971,3.788,6.874,12.783,21.281,31.979,41.976,48.419,51.48,52.587,53.201,53.521,53.976,53.967,54.137,53.986,54.53,54.325,54.462,54.471,53.85,53.948,52.71
1.267,1045.893,0.891,-261.913,1.866,1693.833,0.895,-450.0,4.68,4.561,92.294,0.918,0.825,0.08,0.402,0.85,0.311,11.33,8.985,5.416,2.195,4.505,2.368,55.551,5.563,8.658,1.517,1.656,1.739,1.804,1.814,1.865,1.901,1.905,1.915,1.95,2.075,2.475,3.47,4.735,5.427,5.73,5.533,4.732,3.959,3.568,3.395,3.117,2.821,2.723,2.554,2.294,2.117,1.992,2.106,2.792,5.737,11.579,20.104,31.197,42.005,49.495,53.171,54.661,55.296,55.389,55.875,56.062,55.917,55.998,56.33,56.414,56.33,56.28,55.721,55.879,53.946
1.001,833.547,0.874,-271.84,1.423,1408.05,0.872,-441.633,5.08,4.942,90.399,0.901,0.887,-0.02,0.316,0.835,0.266,10.151,8.231,5.167,3.229,5.797,3.363,64.641,7.002,10.482,2.293,2.534,2.661,2.747,2.752,2.831,2.873,2.87,2.877,2.92,3.099,3.598,4.766,6.218,6.908,7.19,6.909,5.98,5.1,4.656,4.446,4.153,3.825,3.703,3.517,3.228,3.034,2.918,3.134,4.003,7.236,13.728,23.684,36.546,48.96,57.652,62.325,63.566,64.28,64.573,65.096,65.036,65.238,65.181,65.444,65.378,65.427,64.953,64.975,64.318,63.822
1.061,706.593,0.927,-192.407,1.801,1260.05,0.928,-341.833,5.613,5.45,95.081,0.931,0.861,0.167,0.474,0.874,0.304,13.926,11.048,6.612,1.999,3.906,2.083,58.306,4.839,7.659,1.42,1.563,1.652,1.716,1.714,1.743,1.761,1.763,1.758,1.782,1.884,2.222,3.08,4.194,4.763,4.986,4.77,4.051,3.373,3.043,2.897,2.66,2.405,2.321,2.19,1.995,1.864,1.79,1.925,2.495,4.955,10.363,19.069,30.853,42.74,51.225,55.616,57.529,58.24,58.513,58.894,58.898,59.048,58.845,59.107,59.256,59.213,58.651,58.45,57.964,56.361
0.981,700.593,0.932,-213.953,1.643,1236.083,0.935,-376.383,5.564,5.291,95.457,0.931,0.937,0.166,0.473,0.88,0.28,14.723,11.768,7.051,2.265,4.275,2.403,67.213,5.264,8.348,1.611,1.786,1.905,1.992,1.979,2.011,2.033,2.025,2.022,2.042,2.151,2.485,3.356,4.545,5.176,5.414,5.203,4.439,3.718,3.386,3.237,2.986,2.723,2.642,2.524,2.331,2.18,2.092,2.225,2.829,5.42,11.276,21.132,34.594,48.307,58.397,64.171,65.676,66.513,67.2,67.814,68.312,68.129,68.087,68.077,68.049,68.009,67.83,67.685,66.857,65.788
0.953,827.867,0.946,-228.86,1.728,1510.783,0.95,-388.35,5.431,5.036,92.744,0.938,0.805,0.216,0.512,0.893,0.273,16.704,13.431,7.739,1.552,2.929,1.671,51.847,3.593,5.933,1.033,1.16,1.254,1.323,1.33,1.366,1.391,1.393,1.399,1.415,1.486,1.704,2.263,3.056,3.502,3.704,3.572,3.064,2.587,2.35,2.258,2.088,1.909,1.852,1.772,1.63,1.516,1.437,1.526,1.966,3.817,8.049,15.197,25.515,36.462,44.708,49.003,50.742,51.56,51.893,52.271,52.673,52.543,52.599,52.679,52.555,52.463,52.534,52.061,51.511,50.61
1.133,974.26,0.951,-267.773,1.804,1612.35,0.953,-461.85,5.365,4.908,89.148,0.936,0.894,0.204,0.503,0.891,0.269,16.42,13.269,7.874,1.912,3.534,2.034,61.555,4.314,6.937,1.305,1.462,1.577,1.65,1.66,1.695,1.723,1.724,1.728,1.749,1.835,2.091,2.75,3.681,4.216,4.442,4.284,3.696,3.131,2.859,2.743,2.546,2.327,2.254,2.166,2.0,1.856,1.755,1.852,2.352,4.485,9.389,17.822,30.081,43.132,52.999,57.844,59.817,60.753,61.296,61.81,61.995,62.063,62.125,62.516,62.438,62.672,62.738,62.518,62.105,60.635
1.008,811.827,0.95,-211.12,1.582,1377.483,0.952,-378.4,5.233,4.654,90.727,0.926,0.853,0.132,0.446,0.878,0.258,14.382,11.683,6.868,2.045,3.765,2.219,57.912,4.566,7.36,1.348,1.519,1.652,1.747,1.754,1.807,1.842,1.855,1.861,1.883,1.973,2.234,2.904,3.862,4.447,4.7,4.552,3.964,3.378,3.097,2.982,2.775,2.544,2.462,2.367,2.195,2.038,1.913,2.01,2.546,4.826,9.894,18.112,29.765,41.806,50.455,54.746,56.692,57.574,57.991,58.332,58.689,58.534,58.746,59.102,58.844,58.934,58.645,58.124,57.539,56.194
0.951,746.45,0.947,-179.286,1.383,1243.133,0.948,-314.75,4.968,4.144,91.173,0.92,0.811,0.09,0.411,0.869,0.252,13.325,10.892,6.371,2.055,3.768,2.252,53.975,4.539,7.323,1.399,1.547,1.657,1.734,1.752,1.804,1.836,1.85,1.864,1.89,1.981,2.263,2.953,3.889,4.421,4.676,4.52,3.937,3.39,3.119,3.006,2.8,2.576,2.498,2.414,2.25,2.076,1.947,2.025,2.557,4.801,9.845,17.977,28.85,39.586,46.982,50.636,52.518,53.147,53.823,54.262,54.589,54.497,54.885,54.981,54.758,54.946,54.823,54.727,54.327,52.715
1.013,742.736,0.949,-198.464,1.542,1163.217,0.948,-278.417,4.901,4.017,92.624,0.913,0.911,0.046,0.374,0.861,0.241,12.425,10.188,5.98,2.739,4.937,3.021,66.277,5.924,9.495,1.927,2.142,2.272,2.372,2.376,2.428,2.457,2.471,2.481,2.511,2.641,3.013,3.913,5.132,5.813,6.078,5.881,5.142,4.428,4.097,3.949,3.689,3.403,3.324,3.208,3.007,2.81,2.639,2.736,3.423,6.314,12.675,22.958,36.249,48.884,57.72,62.379,64.28,65.215,65.943,66.471,66.839,67.267,67.18,67.277,67.15,67.168,67.2,67.073,66.602,66.107
0.721,936.921,0.94,-216.857,1.045,1506.017,0.935,-358.917,4.736,3.698,89.706,0.904,0.756,-0.005,0.329,0.842,0.258,10.678,8.744,4.667,2.076,4.24,2.499,49.513,5.081,8.737,1.349,1.489,1.605,1.685,1.708,1.769,1.807,1.83,1.85,1.885,2.0,2.331,3.136,4.225,4.887,5.227,5.129,4.542,3.926,3.608,3.479,3.236,2.955,2.872,2.733,2.48,2.266,2.086,2.162,2.896,5.906,11.568,19.456,29.109,37.804,43.67,46.269,47.72,48.424,48.965,49.494,49.807,49.814,49.977,50.289,50.768,50.857,50.527,50.195,50.264,49.331
0.9,812.243,0.932,-218.636,1.324,1318.067,0.928,-378.283,4.669,3.571,91.17,0.897,0.787,-0.041,0.296,0.832,0.257,9.885,8.16,4.065,2.465,4.901,2.897,53.341,5.823,10.532,1.779,1.917,2.017,2.095,2.075,2.105,2.118,2.118,2.12,2.167,2.344,2.839,3.91,5.063,5.69,6.015,5.765,5.068,4.445,4.142,4.009,3.695,3.398,3.324,3.13,2.842,2.568,2.389,2.511,3.516,7.273,13.79,22.709,33.013,41.609,47.094,49.883,51.2,51.798,52.318,52.784,53.0,53.46,53.831,54.06,54.528,54.833,54.676,54.883,54.777,54.092
0.408,775.877,0.877,-143.169,0.637,1351.95,0.873,-220.233,4.504,3.252,87.11,0.853,0.725,-0.227,0.115,0.768,0.246,6.635,5.514,2.658,2.819,6.598,3.997,50.378,7.734,13.772,1.732,1.909,2.05,2.145,2.184,2.255,2.325,2.371,2.416,2.488,2.721,3.324,4.652,6.311,7.354,7.949,7.899,7.188,6.351,5.93,5.75,5.385,4.931,4.81,4.531,3.982,3.548,3.121,3.216,4.768,10.003,17.541,26.223,35.22,41.945,45.958,47.45,48.628,49.165,49.722,50.25,50.439,50.497,51.092,51.35,51.473,51.399,51.461,51.537,51.209,50.0
0.305,436.569,0.857,-84.285,0.497,707.717,0.855,-134.367,4.043,2.62,89.434,0.82,0.74,-0.328,0.006,0.733,0.218,5.499,4.638,2.061,3.404,8.508,5.462,55.296,9.809,18.066,2.013,2.246,2.406,2.543,2.592,2.687,2.763,2.827,2.878,2.97,3.262,4.05,5.795,7.932,9.302,10.055,10.069,9.341,8.4,7.92,7.76,7.334,6.779,6.626,6.223,5.406,4.819,4.206,4.313,6.639,13.603,22.528,31.944,40.508,46.773,50.221,51.453,52.811,53.365,54.178,54.877,55.176,55.446,55.919,56.332,56.692,56.882,56.918,56.896,56.58,55.916
0.179,637.892,0.723,-74.869,0.254,949.983,0.707,-88.517,2.89,1.038,63.406,0.666,0.526,-0.6,-0.334,0.636,0.052,3.498,3.215,1.011,3.498,9.57,8.619,43.049,10.213,21.403,1.923,2.156,2.314,2.449,2.512,2.607,2.715,2.823,2.898,3.021,3.401,4.363,6.16,8.172,9.542,10.396,10.701,10.528,10.187,10.156,10.287,10.184,9.879,9.947,9.571,8.509,7.784,6.815,6.966,10.741,18.077,24.728,30.003,33.661,36.33,37.955,38.676,39.664,40.376,41.198,41.874,42.545,43.02,43.548,44.069,44.365,44.831,45.254,45.211,45.776,45.327
0.03,703.871,0.252,-132.006,0.059,1038.267,0.227,-183.967,0.205,0.203,14.534,0.321,0.193,-0.823,-0.674,0.404,-0.096,1.357,1.35,0.54,7.542,10.461,12.677,24.656,10.491,16.011,5.01,5.322,5.63,5.945,6.21,6.516,6.798,7.049,7.295,7.569,7.891,8.305,8.917,9.612,10.154,10.529,10.791,10.87,10.921,11.08,11.275,11.449,11.643,11.907,12.142,12.371,12.586,12.803,13.143,13.784,15.143,16.879,18.674,20.109,21.113,21.877,22.293,22.69,22.973,23.449,23.728,24.137,24.561,24.703,25.106,25.518,25.616,25.979,26.019,26.403,26.668
0.146,999.681,0.293,-97.356,0.177,1712.65,0.255,-149.667,0.408,0.402,21.615,0.324,0.205,-0.821,-0.672,0.406,-0.094,1.365,1.357,0.542,8.126,11.29,13.622,26.7,11.329,17.314,5.433,5.757,6.057,6.433,6.732,7.042,7.325,7.582,7.841,8.131,8.488,8.966,9.634,10.38,10.956,11.378,11.652,11.733,11.774,11.935,12.165,12.381,12.585,12.844,13.113,13.287,13.496,13.722,14.085,14.806,16.298,18.331,20.057,21.706,22.907,23.652,24.184,24.672,25.072,25.469,25.902,26.122,26.501,26.843,27.222,27.554,27.76,27.952,28.298,28.493,28.462
