GPP_Day,PARin_Day,fAPAR_Day,LE_Day,GPP_MDay,PARin_MDay,fAPAR_MDay,LE_MDay,LAI,LAIgreen,VF,TM_NDVI,TM_EVI2,TM_WDRVI_05,TM_WDRVI_1,TM_Green_NDVI,TM_VARI,TM_CIgreen,MODIS_CIgreen,MERIS_CIre,R_TM_blue,R_TM_green,R_TM_red,R_TM_IR,R_MODIS_green,R_Meris_RE,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700,R_710,R_720,R_730,R_740,R_750,R_760,R_770,R_780,R_790,R_800,R_810,R_820,R_830,R_840,R_850,R_860,R_870,R_880,R_890,R_900
1.594,976.831,0.822,-317.832,2.589,1626.717,0.948,-548.5,6.276,5.702,93.003,0.876,0.6,-0.141,0.202,0.83,0.166,9.781,8.386,6.364,1.946,3.399,2.432,36.648,3.904,4.977,1.118,1.233,1.373,1.5,1.568,1.65,1.71,1.741,1.776,1.822,1.937,2.204,2.73,3.389,3.792,3.986,3.935,3.57,3.2,3.032,2.961,2.839,2.686,2.641,2.589,2.434,2.304,2.188,2.237,2.629,3.85,6.103,9.898,16.15,23.834,30.45,34.112,36.466,37.245,37.972,38.143,38.349,37.836,37.855,38.066,37.815,37.514,36.821,35.94,34.255,31.332
0.345,875.238,0.241,-108.794,0.503,1479.6,0.215,-178.433,0.3,0.295,3.974,0.181,0.115,-0.865,-0.748,0.312,-0.139,0.908,0.963,0.272,9.466,12.992,17.182,24.795,12.63,19.493,5.844,6.163,6.535,6.979,7.376,7.821,8.195,8.583,9.023,9.581,10.372,10.956,11.196,11.741,12.247,12.69,12.953,13.348,13.81,14.261,14.682,15.054,15.47,15.878,16.285,16.769,17.135,17.596,18.02,18.589,19.208,19.779,20.587,21.232,21.757,22.259,22.303,23.168,23.678,24.17,24.228,24.594,24.698,24.957,25.469,25.77,25.924,26.02,25.927,25.845,25.168
0.512,878.824,0.381,-169.112,0.71,1479.467,0.323,-274.2,1.03,1.025,48.708,0.729,0.509,-0.517,-0.222,0.642,0.162,3.59,2.872,2.439,4.415,7.879,5.68,36.167,9.34,10.515,2.391,2.637,2.888,3.096,3.242,3.409,3.52,3.61,3.741,4.167,4.844,5.574,6.457,8.143,9.23,9.677,9.115,7.924,7.095,6.681,6.586,6.345,6.041,5.939,5.85,5.616,5.406,5.333,5.472,6.143,8.494,12.536,18.111,24.526,30.225,34.083,34.801,36.385,36.781,37.32,36.914,37.045,35.732,36.21,36.934,36.893,37.274,36.633,36.062,35.172,32.345
1.026,944.0,0.548,-252.235,1.688,1694.833,0.583,-457.983,2.265,2.26,53.261,0.838,0.639,-0.275,0.065,0.773,0.185,6.825,5.706,4.439,3.057,5.417,3.724,42.389,6.322,7.793,1.745,1.955,2.197,2.38,2.482,2.614,2.699,2.734,2.799,2.849,3.007,3.424,4.33,5.442,6.151,6.486,6.328,5.707,5.034,4.709,4.569,4.319,4.028,3.932,3.873,3.694,3.542,3.431,3.541,4.056,5.88,9.706,15.886,24.502,33.338,39.318,41.595,43.522,43.991,44.379,44.101,44.11,43.582,43.137,43.18,42.802,42.742,41.97,40.91,39.522,36.296
1.412,1028.356,0.748,-258.081,2.242,1760.467,0.773,-426.433,3.725,3.712,82.605,0.895,0.717,-0.052,0.287,0.821,0.279,9.169,7.391,6.345,2.377,4.552,2.566,46.292,5.517,6.302,1.411,1.582,1.755,1.897,1.944,2.019,2.072,2.087,2.11,2.166,2.314,2.701,3.547,4.686,5.372,5.673,5.506,4.786,4.092,3.724,3.586,3.331,3.027,2.918,2.805,2.573,2.372,2.223,2.289,2.783,4.52,8.085,14.096,23.035,32.843,40.531,44.724,46.994,47.534,48.195,48.165,47.903,47.041,46.946,47.105,46.95,47.191,46.111,44.813,44.235,40.473
1.42,813.388,0.849,-209.231,2.233,1300.233,0.893,-377.417,5.296,5.274,89.158,0.921,0.793,0.096,0.416,0.863,0.282,12.599,10.145,8.667,2.041,3.823,2.143,51.988,4.665,5.378,1.221,1.37,1.524,1.651,1.684,1.762,1.801,1.806,1.813,1.847,1.97,2.302,3.028,4.005,4.572,4.798,4.623,3.994,3.367,3.077,2.94,2.73,2.486,2.402,2.314,2.137,1.975,1.867,1.937,2.37,3.839,6.917,12.555,21.926,33.546,43.674,49.356,52.731,53.462,54.243,54.337,54.538,53.922,53.404,53.342,52.921,52.657,51.347,50.24,48.728,44.588
1.551,1002.393,0.923,-251.187,2.47,1570.683,0.918,-404.667,6.047,5.965,84.079,0.922,0.766,0.104,0.423,0.86,0.299,12.316,9.857,8.624,1.926,3.694,1.995,49.192,4.531,5.111,1.213,1.332,1.474,1.594,1.617,1.679,1.711,1.714,1.71,1.734,1.844,2.149,2.865,3.839,4.416,4.662,4.514,3.887,3.268,2.962,2.834,2.62,2.371,2.282,2.196,2.01,1.833,1.704,1.759,2.181,3.625,6.598,11.921,20.661,31.44,41.175,46.84,49.469,50.371,51.374,50.861,51.25,50.529,50.589,50.093,49.956,49.509,48.49,47.937,47.042,43.566
1.85,1011.573,0.878,-280.073,2.947,1696.967,0.938,-485.35,6.208,6.074,86.769,0.929,0.773,0.149,0.46,0.876,0.283,14.082,11.438,9.775,1.719,3.272,1.827,49.347,3.967,4.58,0.989,1.114,1.252,1.369,1.401,1.468,1.501,1.509,1.512,1.546,1.665,1.962,2.584,3.409,3.873,4.073,3.955,3.428,2.92,2.658,2.546,2.36,2.15,2.074,1.995,1.833,1.681,1.563,1.631,2.014,3.277,5.883,10.694,18.867,29.627,39.571,45.78,49.039,50.051,51.122,51.317,51.689,51.402,50.791,50.447,50.732,50.224,49.175,48.355,46.59,43.487
1.548,621.827,0.946,-175.347,2.291,950.817,0.943,-271.567,6.232,6.07,88.052,0.92,0.823,0.09,0.411,0.87,0.249,13.423,11.012,8.867,2.038,3.829,2.304,55.231,4.598,5.598,1.072,1.24,1.413,1.549,1.611,1.702,1.759,1.78,1.798,1.846,1.995,2.348,3.077,3.996,4.513,4.712,4.568,3.977,3.421,3.149,3.051,2.864,2.642,2.582,2.499,2.321,2.145,1.991,2.051,2.542,4.1,7.096,12.547,21.88,33.619,44.513,50.6,55.836,56.74,57.675,57.93,57.492,57.507,57.117,57.304,56.752,56.533,55.374,54.013,51.591,46.0
1.17,636.167,0.889,-172.347,2.091,1195.067,0.95,-316.85,6.259,6.029,93.107,0.903,0.863,-0.012,0.323,0.861,0.186,12.42,10.485,8.026,2.564,4.584,3.148,61.514,5.356,6.815,1.308,1.502,1.706,1.882,1.978,2.108,2.192,2.253,2.298,2.38,2.566,2.97,3.744,4.689,5.254,5.469,5.345,4.774,4.189,3.949,3.842,3.647,3.44,3.397,3.332,3.151,2.97,2.832,2.898,3.459,5.2,8.431,14.357,24.173,36.61,48.18,56.653,60.063,61.607,63.229,63.959,64.36,63.806,63.822,63.866,63.367,63.33,62.062,60.707,58.946,52.933
1.625,1034.82,0.821,-274.707,2.567,1701.767,0.948,-456.433,6.319,5.935,93.085,0.882,0.596,-0.113,0.229,0.834,0.181,10.039,8.514,6.588,1.871,3.26,2.258,35.987,3.782,4.742,1.056,1.191,1.338,1.449,1.51,1.585,1.642,1.667,1.702,1.751,1.862,2.121,2.634,3.292,3.68,3.864,3.804,3.411,3.035,2.848,2.772,2.644,2.488,2.444,2.382,2.244,2.136,2.036,2.096,2.472,3.634,5.85,9.618,15.692,23.315,30.07,33.886,36.328,37.063,37.667,37.531,37.69,36.886,36.817,37.07,37.212,36.731,35.634,35.203,33.671,30.408
1.521,999.513,0.82,-276.4,2.447,1662.467,0.947,-471.467,6.36,5.873,93.053,0.875,0.648,-0.141,0.201,0.829,0.169,9.702,8.32,6.236,2.157,3.83,2.725,40.991,4.398,5.665,1.197,1.344,1.505,1.643,1.72,1.82,1.885,1.926,1.958,2.012,2.148,2.454,3.054,3.804,4.265,4.498,4.432,4.036,3.619,3.423,3.339,3.191,3.005,2.955,2.896,2.735,2.585,2.442,2.495,2.967,4.37,6.959,11.316,18.266,26.759,34.18,38.24,40.757,41.75,42.377,42.597,42.681,42.07,42.235,42.14,41.786,42.101,40.964,40.298,39.007,35.86
1.315,1006.62,0.826,-203.953,2.1,1669.583,0.952,-350.55,6.208,5.722,93.737,0.875,0.682,-0.142,0.201,0.83,0.166,9.75,8.359,6.182,2.301,4.113,2.94,44.213,4.724,6.156,1.252,1.408,1.585,1.743,1.84,1.949,2.027,2.067,2.099,2.155,2.285,2.594,3.229,4.05,4.562,4.826,4.783,4.357,3.908,3.69,3.61,3.453,3.255,3.207,3.134,2.943,2.78,2.631,2.689,3.194,4.76,7.553,12.109,19.479,28.911,36.777,40.967,43.875,44.468,45.645,45.591,45.754,45.663,45.35,45.567,45.418,45.669,44.13,43.579,42.253,39.274
1.851,1024.3,0.84,-247.353,2.884,1730.05,0.877,-434.833,3.896,3.837,84.989,0.898,0.653,-0.035,0.302,0.847,0.213,11.095,9.291,7.636,1.904,3.317,2.153,40.116,3.898,4.645,1.122,1.249,1.384,1.514,1.563,1.642,1.69,1.704,1.72,1.759,1.872,2.143,2.702,3.405,3.814,3.988,3.893,3.457,3.03,2.828,2.736,2.59,2.407,2.35,2.28,2.146,2.03,1.929,1.987,2.346,3.485,5.805,10.031,17.022,25.825,33.521,37.836,40.269,41.214,41.746,41.554,41.682,41.222,40.986,41.176,41.299,41.161,39.985,39.465,37.762,34.379
1.384,614.647,0.923,-166.6,1.989,941.5,0.912,-257.383,3.887,3.798,84.675,0.89,0.741,-0.075,0.265,0.841,0.197,10.563,8.873,7.191,2.395,4.246,2.851,49.095,4.973,5.994,1.261,1.434,1.627,1.79,1.873,1.999,2.066,2.109,2.151,2.218,2.39,2.76,3.472,4.367,4.871,5.077,4.969,4.418,3.88,3.639,3.517,3.344,3.139,3.085,3.027,2.861,2.689,2.566,2.621,3.107,4.554,7.433,12.635,21.288,31.91,41.284,46.552,49.538,50.337,51.437,51.407,51.281,50.001,49.968,50.604,50.456,50.334,49.264,47.978,46.638,40.629
1.291,618.88,0.861,-141.24,2.215,1120.15,0.91,-252.8,3.873,3.734,91.317,0.87,0.691,-0.163,0.181,0.825,0.159,9.459,8.147,6.325,2.532,4.35,3.158,45.492,4.974,6.211,1.27,1.441,1.643,1.83,1.945,2.085,2.18,2.25,2.309,2.387,2.556,2.916,3.576,4.391,4.857,5.073,4.991,4.53,4.066,3.873,3.789,3.646,3.466,3.413,3.333,3.158,2.996,2.861,2.922,3.421,4.888,7.533,12.184,19.908,29.571,37.958,42.734,45.474,46.471,47.138,47.327,47.962,46.857,47.167,47.145,46.815,46.714,45.84,44.336,42.64,37.755
1.6,1048.08,0.788,-230.847,2.389,1716.717,0.898,-393.633,3.841,3.59,86.576,0.828,0.498,-0.305,0.032,0.786,0.121,7.353,6.478,4.733,2.199,3.602,2.825,30.09,4.024,5.249,1.167,1.325,1.489,1.647,1.739,1.853,1.928,1.98,2.035,2.106,2.235,2.495,2.961,3.547,3.905,4.093,4.074,3.781,3.472,3.323,3.266,3.173,3.042,3.01,2.949,2.804,2.699,2.601,2.662,3.051,4.205,6.293,9.644,14.754,20.74,25.719,28.182,30.143,30.644,31.271,31.189,31.356,30.753,30.638,30.994,30.845,31.05,30.087,29.531,28.427,26.247
1.471,1008.32,0.786,-249.9,2.197,1680.933,0.892,-429.433,3.8,3.446,79.465,0.722,0.443,-0.528,-0.236,0.687,0.068,4.399,4.045,2.725,3.453,5.549,4.844,29.958,5.938,8.042,1.431,1.755,2.121,2.418,2.634,2.839,3.004,3.119,3.224,3.35,3.574,3.952,4.562,5.244,5.711,6.01,6.093,5.874,5.583,5.459,5.407,5.312,5.165,5.143,5.085,4.877,4.682,4.472,4.502,5.148,6.814,9.271,12.482,17.16,22.026,26.138,28.014,29.649,30.185,30.723,30.712,30.88,30.561,30.819,30.876,30.764,30.967,30.498,29.494,28.701,26.532
0.195,1025.556,0.142,-59.0,0.291,1761.717,0.116,-92.167,0.224,0.224,3.431,0.217,0.141,-0.856,-0.731,0.338,-0.13,1.019,1.068,0.352,9.804,13.132,17.067,26.521,12.827,19.614,6.296,6.671,7.058,7.533,7.934,8.332,8.772,9.179,9.582,9.974,10.397,10.839,11.359,11.903,12.379,12.846,13.254,13.592,13.914,14.281,14.663,15.039,15.433,15.813,16.254,16.626,17.07,17.46,17.837,18.411,19.144,20.085,20.971,21.884,22.7,23.228,23.58,24.219,24.631,25.05,25.403,25.891,26.305,26.701,26.988,27.415,27.704,28.14,28.346,28.71,28.73
0.256,716.547,0.341,-122.182,0.37,1096.617,0.297,-174.9,0.66,0.66,19.428,0.404,0.257,-0.789,-0.618,0.467,-0.078,1.755,1.714,0.848,7.279,10.15,11.862,27.966,10.306,15.132,4.747,5.07,5.425,5.747,5.998,6.282,6.546,6.785,7.023,7.281,7.581,8.031,8.706,9.48,9.985,10.362,10.571,10.555,10.454,10.547,10.69,10.822,10.947,11.19,11.415,11.59,11.745,11.949,12.257,12.89,14.1,16.164,18.853,21.259,23.581,24.911,25.582,26.033,26.417,26.86,27.134,27.532,27.862,28.124,28.352,28.608,28.852,29.041,29.429,29.838,29.833
0.729,978.625,0.433,-164.138,1.167,1670.233,0.414,-278.633,1.201,1.2,34.315,0.514,0.309,-0.731,-0.525,0.554,-0.056,2.481,2.348,1.24,5.282,7.709,8.626,26.836,8.015,11.983,3.415,3.64,3.865,4.098,4.287,4.501,4.703,4.89,5.072,5.251,5.502,5.865,6.471,7.23,7.766,8.101,8.179,7.985,7.836,7.854,7.961,8.031,8.061,8.214,8.35,8.416,8.505,8.594,8.852,9.45,10.877,13.089,16.026,19.388,22.179,23.864,24.594,25.225,25.665,25.981,26.299,26.489,26.786,26.982,27.238,27.634,27.697,27.678,27.897,28.448,27.93
0.83,881.176,0.492,-149.688,1.39,1597.25,0.478,-269.583,1.66,1.657,40.482,0.529,0.371,-0.72,-0.51,0.57,-0.059,2.654,2.52,1.397,6.454,9.359,10.524,34.193,9.715,14.265,4.255,4.56,4.84,5.118,5.323,5.558,5.786,5.972,6.173,6.388,6.686,7.145,7.923,8.821,9.422,9.802,9.922,9.697,9.485,9.501,9.656,9.721,9.811,10.008,10.161,10.278,10.402,10.538,10.831,11.447,12.956,15.574,19.258,23.769,27.673,30.157,31.18,32.183,32.626,33.007,33.341,33.601,33.95,34.296,34.812,35.074,35.431,35.591,35.713,36.078,36.017
0.985,940.1,0.536,-162.782,1.623,1694.0,0.513,-295.933,2.348,2.342,33.505,0.567,0.352,-0.693,-0.468,0.601,-0.052,3.018,2.872,1.647,4.964,7.166,7.952,28.795,7.438,10.878,3.249,3.493,3.7,3.934,4.107,4.283,4.455,4.607,4.757,4.924,5.141,5.484,6.062,6.747,7.207,7.504,7.602,7.435,7.27,7.289,7.381,7.429,7.459,7.591,7.718,7.774,7.849,7.93,8.154,8.65,9.838,11.918,14.871,18.814,22.642,25.171,26.218,27.129,27.557,27.935,28.204,28.42,28.636,28.916,29.18,29.616,29.683,29.878,29.988,30.314,30.252
1.068,986.706,0.602,-205.441,1.824,1753.8,0.565,-367.683,3.037,3.027,43.808,0.673,0.45,-0.593,-0.324,0.676,-0.006,4.173,3.841,2.455,4.279,6.44,6.522,33.317,6.882,9.642,2.675,2.902,3.122,3.316,3.475,3.634,3.792,3.918,4.057,4.214,4.427,4.786,5.406,6.182,6.688,6.968,6.99,6.682,6.388,6.306,6.349,6.311,6.256,6.326,6.392,6.39,6.403,6.435,6.603,7.107,8.444,10.84,14.783,20.0,25.405,29.227,31.022,31.927,32.433,32.743,33.115,33.32,33.415,33.593,33.771,33.952,34.156,34.047,34.139,34.494,33.627
1.156,975.424,0.756,-262.024,2.042,1755.6,0.755,-443.35,3.955,3.941,65.852,0.815,0.576,-0.341,-0.008,0.772,0.117,6.775,5.822,4.165,2.888,4.848,3.833,37.694,5.525,7.298,1.827,2.001,2.161,2.307,2.381,2.484,2.556,2.609,2.669,2.737,2.888,3.231,3.931,4.838,5.382,5.643,5.551,5.062,4.575,4.353,4.296,4.146,3.968,3.946,3.918,3.793,3.681,3.596,3.702,4.197,5.81,8.786,13.718,20.636,27.68,32.873,35.43,36.663,37.181,37.461,37.88,37.917,37.873,38.133,38.299,38.354,38.489,38.176,38.39,37.807,37.36
1.134,604.463,0.81,-127.081,1.819,1039.367,0.798,-235.217,4.363,4.324,83.923,0.869,0.777,-0.169,0.174,0.81,0.198,8.503,7.046,5.356,3.172,5.779,3.865,54.916,6.826,8.641,1.981,2.236,2.409,2.58,2.626,2.708,2.776,2.813,2.828,2.895,3.102,3.601,4.65,5.952,6.685,6.983,6.809,6.034,5.241,4.888,4.765,4.494,4.201,4.13,4.049,3.849,3.658,3.505,3.604,4.256,6.501,10.78,18.091,28.688,39.608,47.522,51.858,53.647,54.221,54.85,55.252,55.444,55.628,55.903,55.34,55.55,55.414,55.338,55.147,55.583,54.571
1.635,982.106,0.885,-277.138,2.81,1684.95,0.884,-501.35,5.386,5.281,88.23,0.897,0.753,-0.044,0.294,0.839,0.232,10.422,8.544,6.772,2.376,4.357,2.715,49.764,5.214,6.403,1.452,1.633,1.78,1.914,1.956,2.031,2.084,2.103,2.13,2.167,2.312,2.683,3.496,4.521,5.106,5.349,5.187,4.545,3.906,3.607,3.493,3.278,3.04,2.98,2.903,2.723,2.537,2.4,2.474,2.988,4.69,8.115,13.976,22.943,33.44,41.983,46.538,48.595,49.427,49.94,50.059,50.376,50.137,50.373,50.43,50.453,50.524,50.376,50.075,50.342,48.819
1.118,471.427,0.909,-114.227,1.789,779.45,0.903,-176.533,5.674,5.573,88.901,0.917,0.785,0.069,0.393,0.864,0.252,12.714,10.354,8.312,2.034,3.758,2.245,51.535,4.539,5.534,1.209,1.395,1.54,1.673,1.703,1.757,1.793,1.8,1.807,1.834,1.963,2.297,3.022,3.936,4.455,4.652,4.509,3.912,3.329,3.055,2.949,2.752,2.529,2.465,2.387,2.228,2.088,1.978,2.06,2.509,4.039,7.03,12.433,21.272,32.396,42.149,48.073,50.196,51.34,51.843,52.299,52.638,52.474,52.283,52.334,52.286,52.016,51.948,51.753,51.51,50.027
1.864,1019.327,0.92,-268.793,2.921,1636.617,0.922,-455.85,6.058,5.962,92.445,0.917,0.724,0.073,0.397,0.865,0.252,12.83,10.471,8.31,1.774,3.283,1.961,45.405,3.958,4.877,1.097,1.24,1.364,1.484,1.507,1.55,1.578,1.583,1.586,1.607,1.708,1.988,2.597,3.398,3.864,4.071,3.939,3.419,2.941,2.703,2.615,2.431,2.235,2.176,2.108,1.96,1.818,1.715,1.771,2.182,3.536,6.217,10.91,18.523,28.114,36.626,41.368,44.007,44.854,45.516,45.902,45.983,46.068,46.08,46.213,46.218,46.246,46.095,45.835,45.562,45.124
1.805,1002.88,0.932,-289.86,2.921,1690.383,0.934,-525.567,6.038,5.914,94.053,0.916,0.716,0.068,0.392,0.866,0.243,12.973,10.67,8.362,1.765,3.206,1.954,44.792,3.838,4.784,1.076,1.219,1.349,1.48,1.501,1.539,1.57,1.58,1.582,1.61,1.708,1.975,2.559,3.32,3.749,3.943,3.823,3.341,2.877,2.663,2.575,2.408,2.22,2.17,2.1,1.954,1.82,1.709,1.759,2.167,3.493,6.076,10.615,18.015,27.444,35.853,40.676,43.233,44.101,44.783,45.073,45.249,45.672,45.529,45.632,45.749,45.507,45.386,45.41,45.175,44.7
